nctid	criterion	cluster
NCT00001137	HIV-1 infected	15
NCT00001137	Enrolled in an AIDS Clinical Trial Group (ACTG) parent study and has enrolled in this study on or before the Week 16 visit of the parent study, including the visit window of the parent study. More information on this criterion can be found in the protocol.	15
NCT00001137	Willing to provide consent for the release and use of clinical data from the parent study	15
NCT00001137	Life expectancy of at least 24 weeks	2
NCT00001137	Parent or guardian willing to provide informed consent, if applicable Exclusion Criteria	22
NCT00001137	Active alcohol or drug abuse that may interfere with the study	15
NCT00003199	Patients with inflammatory (stage IIIb) or responsive stage IV breast cancer with metastasis to soft tissue and/or bone; responsive stage IV disease is defined as patients who achieve a PR (\>= 50% reduction in measurable tumor burden) or CR following initial chemotherapy for metastatic disease or patients with locally recurrent disease (chest wall/axillary nodes) who are rendered disease-free following surgery or radiation therapy without receiving chemotherapy; bone disease is categorized as responsive if there is demonstrated sclerosis of prior lesions with no new lesions	25
NCT00003199	Patients should have received 4-7 cycles of an Adriamycin and/or taxane-based regimen for stage IIIb or stage IV disease; locally recurrent (chest wall/axillary nodes) patients rendered NED by RT or surgery do not need to receive chemotherapy for stage IV disease prior to Cytoxan/Taxol	25
NCT00003199	Patient has received Cytoxan 4 gm/m\^2 x 1 and Taxol 250 mg/m\^2 x 1 per FHCRC protocol 506.03; Cytoxan/Taxol must be given after all other chemotherapy is completed and before transplant	15
NCT00003199	Stem cells were collected after mobilization with Cytoxan/Taxol or after mobilization from an FHCRC approved cytokine protocol; if syngeneic collection, PBSC's were collected by using G-CSF according to FHCRC protocol 753; patient has an adequate number of peripheral blood stem cells stored (\>= 2.5 x 10\^6 CD34+ cells/kg)	15
NCT00003199	The patient must have the capacity to give informed consent; the patient must have signed an approved consent form conforming with federal and institutional guidelines	22
NCT00003199	Hepatic function: Bilirubin =\< 2 mg%; SGOT or SGPT =\< 2.5 x institutional normal	15
NCT00003199	Renal function: Creatinine =\< 2.0 mg/dl or a creatinine clearance \>= 50 mg/min	8
NCT00003199	Pre-Study tests have been performed as outlined in the Study Calendar	15
NCT00003199	Patients will begin IL-2/GM-CSF therapy if they meet the following criteria post-transplant:	3
NCT00003199	Can start therapy 30 to 100 days after transplant	14
NCT00003199	Karnofsky performance status \> 60	6
